,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,nabire,-3.3667,135.4833,24.69,91,100,1.5,ID,1627409626
85,khovu-aksy,51.1333,93.6,13.75,90,86,0.87,RU,1627409627
86,cape coast,5.1053,-1.2466,25.01,81,94,5.71,GH,1627409412
87,kaeo,-35.1,173.7833,8.51,94,13,2.57,NZ,1627409627
88,tomatlan,19.9333,-105.25,32.04,58,27,1.99,MX,1627409627
89,cabo san lucas,22.8909,-109.9124,35.45,68,1,3.58,MX,1627409363
90,port alfred,-33.5906,26.891,22.76,27,0,9.63,ZA,1627409083
91,pevek,69.7008,170.3133,1.09,93,100,6.54,RU,1627409333
92,lahat,-3.8,103.5333,20.76,80,3,1.35,ID,1627409385
93,hanamaki,39.3833,141.1167,20.01,97,68,2.61,JP,1627409628
94,saint anthony,45.0205,-93.218,34.03,56,1,1.34,US,1627409629
95,severo-kurilsk,50.6789,156.125,13.89,97,100,4.05,RU,1627409456
96,tabuk,17.4189,121.4443,25.47,82,100,1.14,PH,1627409629
97,najran,17.4924,44.1277,32.34,27,95,1.27,SA,1627409493
98,lugovoy,42.9472,72.7644,22.44,34,6,1.83,KZ,1627409630
99,berdigestyakh,62.0989,126.6992,11.22,78,7,1.89,RU,1627409630
100,tutoia,-2.7619,-42.2744,30.99,65,26,5.14,BR,1627409371
101,bluff,-46.6,168.3333,9.33,71,75,9.44,NZ,1627409630
102,olafsvik,64.8945,-23.7142,11.37,79,76,7.53,IS,1627409631
103,wajid,3.8093,43.2471,25.06,59,98,7.81,SO,1627409631
104,kruisfontein,-34.0033,24.7314,14.94,85,7,4.04,ZA,1627409373
105,uyuni,-20.4597,-66.825,9.18,21,0,11.14,BO,1627409631
106,comodoro rivadavia,-45.8667,-67.5,8.27,55,77,5.97,AR,1627409386
107,asau,46.4333,26.4,26.51,81,68,1.46,RO,1627409632
108,esperance,-33.8667,121.9,10.19,76,69,8.59,AU,1627409386
109,hobart,-42.8794,147.3294,14.59,65,90,2.68,AU,1627409341
110,nizhniy tsasuchey,50.5167,115.1333,14.86,92,8,1.78,RU,1627409632
111,inhambane,-23.865,35.3833,18.7,63,1,3.79,MZ,1627409363
112,tasiilaq,65.6145,-37.6368,6.09,82,49,2.41,GL,1627409352
113,iqaluit,63.7506,-68.5145,8.35,65,93,4.08,CA,1627409466
114,potoci,43.4086,17.8786,33.71,37,63,0.68,BA,1627409633
115,guerrero,17.6667,-100.0,25.39,73,89,0.86,MX,1627409633
116,rikitea,-23.1203,-134.9692,23.49,77,97,6.58,PF,1627409326
117,lebu,-37.6167,-73.65,9.82,66,1,11.06,CL,1627409393
118,nanortalik,60.1432,-45.2371,7.78,77,94,0.21,GL,1627409459
119,butaritari,3.0707,172.7902,27.79,71,100,4.16,KI,1627409346
120,talnakh,69.4865,88.3972,21.75,69,93,2.64,RU,1627409389
121,tiksi,71.6872,128.8694,2.21,95,51,2.2,RU,1627409066
122,muros,42.7762,-9.0603,25.64,58,32,6.22,ES,1627409327
123,kiama,-34.6833,150.8667,15.32,59,100,3.13,AU,1627409634
124,hobyo,5.3505,48.5268,26.05,68,92,10.27,SO,1627409440
125,pangoa,-12.1167,-73.0,30.76,41,29,2.02,PE,1627409635
126,krasnovishersk,60.4078,57.082,9.78,74,90,2.59,RU,1627409635
127,ancud,-41.8697,-73.8203,9.74,65,63,0.91,CL,1627409286
128,nova olimpia,-14.7972,-57.2881,36.24,22,44,2.78,BR,1627409636
129,dikson,73.5069,80.5464,12.48,94,100,7.88,RU,1627409326
130,georgiyevka,43.0369,74.7114,27.02,28,0,6.0,KZ,1627409636
131,portland,45.5234,-122.6762,26.36,63,75,0.45,US,1627409351
132,avarua,-21.2078,-159.775,21.03,83,40,1.54,CK,1627409331
133,mar del plata,-38.0023,-57.5575,10.56,56,40,5.36,AR,1627409209
134,pangkalanbuun,-2.6833,111.6167,23.61,93,76,1.01,ID,1627409637
135,tateyama,34.9833,139.8667,25.57,88,75,3.6,JP,1627409637
136,port-gentil,-0.7193,8.7815,24.39,79,28,4.82,GA,1627409637
137,juigalpa,12.1063,-85.3645,28.69,73,97,4.06,NI,1627409638
138,alofi,-19.0595,-169.9187,24.31,74,50,2.68,NU,1627409389
139,half moon bay,37.4636,-122.4286,29.86,68,97,1.77,US,1627409114
140,quatre cocos,-20.2078,57.7625,19.49,83,88,6.23,MU,1627409445
141,goderich,43.7501,-81.7165,25.02,80,80,4.01,CA,1627409638
142,kapaa,22.0752,-159.319,27.18,81,40,5.14,US,1627409262
143,kavaratti,10.5669,72.642,27.65,79,100,8.51,IN,1627409334
144,yangambi,0.8102,24.4336,24.04,71,70,1.55,CD,1627409639
145,carnarvon,-24.8667,113.6333,15.04,58,90,2.06,AU,1627409386
146,luderitz,-26.6481,15.1594,14.51,76,0,4.88,NA,1627409331
147,bubaque,11.2833,-15.8333,27.32,79,55,4.06,GW,1627409496
148,sulechow,52.0836,15.6251,26.53,50,0,3.09,PL,1627409640
149,malanje,-9.5402,16.341,20.54,20,76,1.34,AO,1627409640
150,panguipulli,-39.6333,-72.3333,9.84,59,28,1.75,CL,1627409640
151,norman wells,65.282,-126.8329,15.57,79,98,0.21,CA,1627409357
152,atherton,53.5237,-2.4935,19.75,86,100,0.89,GB,1627409641
153,madang,-5.2246,145.7966,24.4,93,41,0.94,PG,1627409641
154,mumbwa,-14.9783,27.0619,13.81,49,85,2.45,ZM,1627409642
155,lavrentiya,65.5833,-171.0,6.55,99,100,4.0,RU,1627409414
156,tilichiki,60.4667,166.1,9.33,90,100,3.62,RU,1627409642
157,plouzane,48.3833,-4.6167,19.18,70,75,5.14,FR,1627409642
158,arlit,18.7369,7.3853,27.6,54,93,4.34,NE,1627409371
